,Unnamed: 0,id,time,orig_time,first_time,mat_time,balance_time,LTV_time,interest_rate_time,hpi_time,gdp_time,uer_time,REtype_CO_orig_time,REtype_PU_orig_time,REtype_SF_orig_time,investor_orig_time,balance_orig_time,FICO_orig_time,LTV_orig_time,Interest_Rate_orig_time,hpi_orig_time,default_time,payoff_time,status_time
33447,33447,3506,26,23,26,144,143768.96,78.794463463,7.25,225.1,2.1513648831,4.7,0,1,0,0,143900.0,648,80.0,7.25,221.91,0,0,0
33448,33448,3506,27,23,26,144,143701.63,79.717286255,7.25,222.39,2.3617217155,4.4,0,1,0,0,143900.0,648,80.0,7.25,221.91,0,0,0
33449,33449,3506,28,23,26,144,143656.07,80.678775428,7.25,219.67,1.2291722496,4.6,0,1,0,0,143900.0,648,80.0,7.25,221.91,0,0,0
33450,33450,3506,29,23,26,144,143482.18,81.433748732,7.25,217.37,1.6929686703,4.5,0,1,0,0,143900.0,648,80.0,7.25,221.91,0,0,0
33451,33451,3506,30,23,26,144,143474.4,83.205444229,7.25,212.73,2.2742178006,4.7,0,1,0,0,143900.0,648,80.0,7.25,221.91,0,0,0
33452,33452,3506,31,23,26,144,143468.43,88.20231045,7.25,200.67,1.8506891663,4.7,0,1,0,0,143900.0,648,80.0,7.25,221.91,0,0,0
33453,33453,3506,32,23,26,144,143462.36,95.09353529,7.25,186.12,1.1041627602,5.0,0,1,0,0,143900.0,648,80.0,7.25,221.91,0,1,2
33454,33454,3507,26,23,26,144,625347.49,78.789613451,8.6,225.1,2.1513648831,4.7,0,0,1,0,625956.0,619,80.0,8.6,221.91,0,0,0
33455,33455,3507,27,23,26,144,624879.57,79.690054689,8.6,222.39,2.3617217155,4.4,0,0,1,0,625956.0,619,80.0,8.6,221.91,0,0,0
33456,33456,3507,28,23,26,144,624239.87,80.59420343,8.6,219.67,1.2291722496,4.6,0,0,1,0,625956.0,619,80.0,8.6,221.91,0,0,0
33457,33457,3507,29,23,26,144,623913.1,81.404338736,8.6,217.37,1.6929686703,4.5,0,0,1,0,625956.0,619,80.0,8.6,221.91,0,0,0
33458,33458,3507,30,23,26,144,623414.11,83.113379431,8.6,212.73,2.2742178006,4.7,0,0,1,0,625956.0,619,80.0,8.6,221.91,0,0,0
33459,33459,3507,31,23,26,144,622904.31,88.036331879,8.6,200.67,1.8506891663,4.7,0,0,1,0,625956.0,619,80.0,8.6,221.91,0,0,0
33460,33460,3507,32,23,26,144,622383.48,94.839240313,8.6,186.12,1.1041627602,5.0,0,0,1,0,625956.0,619,80.0,8.6,221.91,0,0,0
33461,33461,3507,33,23,26,144,622383.48,97.781295187,10.75,180.52,0.8368586627,5.0,0,0,1,0,625956.0,619,80.0,8.6,221.91,1,0,1
33462,33462,3508,26,23,26,144,224199.05,78.627120226,7.44,225.1,2.1513648831,4.7,0,0,1,0,224881.0,701,80.0,7.44,221.91,0,1,2
33463,33463,3509,26,23,26,144,49858.86,70.189464687,7.8,225.1,2.1513648831,4.7,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33464,33464,3509,27,23,26,144,49714.02,70.838394345,7.8,222.39,2.3617217155,4.4,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33465,33465,3509,28,23,26,144,49602.9,71.555232766,7.8,219.67,1.2291722496,4.6,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33466,33466,3509,29,23,26,144,49527.61,72.202601662,7.8,217.37,1.6929686703,4.5,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33467,33467,3509,30,23,26,144,49412.83,73.606483234,7.8,212.73,2.2742178006,4.7,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33468,33468,3509,31,23,26,144,49295.8,77.845327336,7.8,200.67,1.8506891663,4.7,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33469,33469,3509,32,23,26,144,49176.48,83.727760705,7.8,186.12,1.1041627602,5.0,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33470,33470,3509,33,23,26,144,49071.34,86.140556574,10.5,180.52,0.8368586627,5.0,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33471,33471,3509,34,23,26,144,48997.14,89.567812067,10.5,173.35,-0.314447747,5.8,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33472,33472,3509,35,23,26,144,48915.56,95.630381524,9.5,162.09,-2.805844087,6.5,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33473,33473,3509,36,23,26,144,48821.03,102.13079725,9.5,151.48,-3.516567987,7.8,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33474,33474,3509,37,23,26,144,48720.29,100.6772085,8.875,153.35,-4.146710947,9.0,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33475,33475,3509,38,23,26,144,48609.25,97.018723545,8.875,158.77,-3.339549297,9.5,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33476,33476,3509,39,23,26,144,48488.38,97.150736896,7.875,158.16,-0.241080652,10.0,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33477,33477,3509,40,23,26,144,48350.17,98.083115862,7.875,156.21,1.5859655122,9.8,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33478,33478,3509,41,23,26,144,48200.6,94.835258093,6.875,161.06,2.6824968062,9.9,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33479,33479,3509,42,23,26,144,48030.91,94.536608894,6.875,161.0,3.0294986398,9.4,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33480,33480,3509,43,23,26,144,47854.7,97.183768836,6.5,156.04,2.6941105489,9.4,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33481,33481,3509,44,23,26,144,47668.3,100.09600068,6.5,150.91,1.8755149375,9.2,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33482,33482,3509,45,23,26,144,47476.34,97.143783446,6.25,154.87,1.6391549258,9.1,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33483,33483,3509,46,23,26,144,47276.26,96.274371154,6.25,155.61,1.1759090317,9.0,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33484,33484,3509,47,23,26,144,47071.74,99.722189249,6.125,149.58,1.6681823188,8.8,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33485,33485,3509,48,23,26,144,46861.43,101.39843265,6.125,146.45,2.7159028846,8.3,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33486,33486,3509,49,23,26,144,46650.48,95.410823854,6.375,154.94,2.4566338212,8.2,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33487,33487,3509,50,23,26,144,46441.41,92.592811014,6.375,158.94,2.3664098989,8.2,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33488,33488,3509,51,23,26,144,46230.27,92.369443632,6.5,158.6,1.2690442628,7.8,0,0,1,0,50000.0,563,71.4,7.8,221.91,0,0,0
33489,33489,3509,52,23,26,144,46179.67,90.819582036,4.337,161.13,1.0810494182,8.0,0,0,1,0,50000.0,563,71.4,4.337,221.91,0,0,0
33490,33490,3509,53,23,26,144,46009.92,84.194534872,4.337,173.17,0.8929961554,7.6,0,0,1,0,50000.0,563,71.4,4.337,221.91,0,0,0
33491,33491,3509,54,23,26,144,45899.67,80.819196306,4.337,179.97,1.5073587076,7.3,0,0,1,0,50000.0,563,71.4,4.337,221.91,0,0,0
33492,33492,3509,55,23,26,144,45788.08,80.577937942,4.337,180.07,2.4222748689,7.2,0,0,1,0,50000.0,563,71.4,4.337,221.91,0,0,0
33493,33493,3509,56,23,26,144,45675.27,79.776890308,4.337,181.43,1.7170529058,6.6,0,0,1,0,50000.0,563,71.4,4.337,221.91,0,0,0
33494,33494,3509,57,23,26,144,45561.24,77.124928041,4.337,187.2,2.5560517331,6.2,0,0,1,0,50000.0,563,71.4,4.337,221.91,0,0,0
33495,33495,3509,58,23,26,144,45445.96,76.451960188,4.337,188.37,2.8685938252,6.2,0,0,1,0,50000.0,563,71.4,4.337,221.91,0,0,0
33496,33496,3509,59,23,26,144,45329.44,76.548531902,4.337,187.65,2.4436475652,5.7,0,0,1,0,50000.0,563,71.4,4.337,221.91,0,0,0
33497,33497,3509,60,23,26,144,45211.64,75.47678151,4.337,189.82,2.8363581757,5.7,0,0,1,0,50000.0,563,71.4,4.337,221.91,0,0,0
33498,33498,3510,26,23,26,144,72173.62,51.187635277,9.55,225.1,2.1513648831,4.7,0,0,1,0,72280.0,520,52.0,9.55,221.91,0,0,0
33499,33499,3510,27,23,26,144,72027.77,51.706695965,9.55,222.39,2.3617217155,4.4,0,0,1,0,72280.0,520,52.0,9.55,221.91,0,0,0
33500,33500,3510,28,23,26,144,71953.1,52.292671908,9.55,219.67,1.2291722496,4.6,0,0,1,0,72280.0,520,52.0,9.55,221.91,0,0,0
33501,33501,3510,29,23,26,144,71838.68,52.761946788,9.55,217.37,1.6929686703,4.5,0,0,1,0,72280.0,520,52.0,9.55,221.91,0,0,0
33502,33502,3510,30,23,26,144,71799.99,53.883738129,9.55,212.73,2.2742178006,4.7,0,0,1,0,72280.0,520,52.0,9.55,221.91,0,0,0
33503,33503,3510,31,23,26,144,71642.12,56.996482106,9.55,200.67,1.8506891663,4.7,0,0,1,0,72280.0,520,52.0,9.55,221.91,0,0,0
33504,33504,3510,32,23,26,144,71437.59,61.276764263,9.55,186.12,1.1041627602,5.0,0,0,1,0,72280.0,520,52.0,9.55,221.91,0,0,0
33505,33505,3510,33,23,26,144,71353.48,63.103276174,11.0,180.52,0.8368586627,5.0,0,0,1,0,72280.0,520,52.0,9.55,221.91,0,0,0
33506,33506,3510,34,23,26,144,71289.23,65.654145164,11.0,173.35,-0.314447747,5.8,0,0,1,0,72280.0,520,52.0,9.55,221.91,0,0,0
33507,33507,3510,35,23,26,144,71223.8,70.150535687,10.0,162.09,-2.805844087,6.5,0,0,1,0,72280.0,520,52.0,9.55,221.91,1,0,1
33508,33508,3511,26,23,26,144,147842.97,78.782603462,8.3,225.1,2.1513648831,4.7,0,0,1,0,148000.0,638,80.0,8.3,221.91,0,0,0
33509,33509,3511,27,23,26,144,147722.32,79.677557034,8.3,222.39,2.3617217155,4.4,0,0,1,0,148000.0,638,80.0,8.3,221.91,0,0,0
33510,33510,3511,28,23,26,144,147599.15,80.596883966,8.3,219.67,1.2291722496,4.6,0,0,1,0,148000.0,638,80.0,8.3,221.91,0,0,0
33511,33511,3511,29,23,26,144,147473.41,81.380295431,8.3,217.37,1.6929686703,4.5,0,0,1,0,148000.0,638,80.0,8.3,221.91,0,0,0
33512,33512,3511,30,23,26,144,147265.28,83.037979331,8.3,212.73,2.2742178006,4.7,0,0,1,0,148000.0,638,80.0,8.3,221.91,0,0,0
33513,33513,3511,31,23,26,144,147132.55,87.949111478,8.3,200.67,1.8506891663,4.7,0,0,1,0,148000.0,638,80.0,8.3,221.91,0,0,0
33514,33514,3511,32,23,26,144,147042.54,94.766555873,8.3,186.12,1.1041627602,5.0,0,0,1,0,148000.0,638,80.0,8.3,221.91,1,0,1
33515,33515,3512,26,23,26,144,141436.76,88.248349289,9.49,225.1,2.1513648831,4.7,0,0,1,0,142200.0,572,90.0,9.49,221.91,0,0,0
33516,33516,3512,27,23,26,144,141104.97,89.114185573,9.49,222.39,2.3617217155,4.4,0,0,1,0,142200.0,572,90.0,9.49,221.91,0,0,0
33517,33517,3512,28,23,26,144,140946.84,90.116513275,9.49,219.67,1.2291722496,4.6,0,0,1,0,142200.0,572,90.0,9.49,221.91,0,0,0
33518,33518,3512,29,23,26,144,140704.91,90.913721101,9.49,217.37,1.6929686703,4.5,0,0,1,0,142200.0,572,90.0,9.49,221.91,0,0,0
33519,33519,3512,30,23,26,144,140540.42,92.788102474,9.49,212.73,2.2742178006,4.7,0,0,1,0,142200.0,572,90.0,9.49,221.91,0,0,0
33520,33520,3512,31,23,26,144,140457.2,98.306298116,9.49,200.67,1.8506891663,4.7,0,0,1,0,142200.0,572,90.0,9.49,221.91,1,0,1
33521,33521,3513,26,23,26,144,153533.93,83.623274631,9.35,225.1,2.1513648831,4.7,0,0,1,0,153850.0,575,85.0,9.35,221.91,0,0,0
33522,33522,3513,27,23,26,144,153290.35,84.508006984,9.35,222.39,2.3617217155,4.4,0,0,1,0,153850.0,575,85.0,9.35,221.91,0,0,0
33523,33523,3513,28,23,26,144,153041.03,85.41525238,9.35,219.67,1.2291722496,4.6,0,0,1,0,153850.0,575,85.0,9.35,221.91,0,0,0
33524,33524,3513,29,23,26,144,152785.83,86.175095028,9.35,217.37,1.6929686703,4.5,0,0,1,0,153850.0,575,85.0,9.35,221.91,0,0,0
33525,33525,3513,30,23,26,144,152524.62,87.904176576,9.35,212.73,2.2742178006,4.7,0,0,1,0,153850.0,575,85.0,9.35,221.91,0,0,0
33526,33526,3513,31,23,26,144,152257.26,93.023753207,9.35,200.67,1.8506891663,4.7,0,0,1,0,153850.0,575,85.0,9.35,221.91,0,0,0
33527,33527,3513,32,23,26,144,151983.6,100.11565246,9.35,186.12,1.1041627602,5.0,0,0,1,0,153850.0,575,85.0,9.35,221.91,0,1,2
33528,33528,3514,26,23,26,144,349593.79,59.967278016,7.99,225.1,2.1513648831,4.7,0,0,1,0,350000.0,605,60.9,7.99,221.91,0,0,0
33529,33529,3514,27,23,26,144,349386.6,60.662054007,7.99,222.39,2.3617217155,4.4,0,0,1,0,350000.0,605,60.9,7.99,221.91,1,0,1
33530,33530,3515,27,23,27,144,299905.67,63.944094545,5.99,222.39,2.3617217155,4.4,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33531,33531,3515,28,23,27,144,298596.51,64.453276198,5.99,219.67,1.2291722496,4.6,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33532,33532,3515,29,23,27,144,297932.08,64.990321234,5.99,217.37,1.6929686703,4.5,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33533,33533,3515,30,23,27,144,295963.23,65.96902093,5.99,212.73,2.2742178006,4.7,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33534,33534,3515,31,23,27,144,292519.07,69.119844699,5.99,200.67,1.8506891663,4.7,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33535,33535,3515,32,23,27,144,293775.81,74.843486232,5.99,186.12,1.1041627602,5.0,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33536,33536,3515,33,23,27,144,292675.52,76.876232957,5.99,180.52,0.8368586627,5.0,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33537,33537,3515,34,23,27,144,290509.87,79.463568902,5.99,173.35,-0.314447747,5.8,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33538,33538,3515,35,23,27,144,289360.43,84.647461631,5.99,162.09,-2.805844087,6.5,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33539,33539,3515,36,23,27,144,287109.1,89.871643066,5.99,151.48,-3.516567987,7.8,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33540,33540,3515,37,23,27,144,285862.52,88.390269471,5.99,153.35,-4.146710947,9.0,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33541,33541,3515,38,23,27,144,283548.39,84.681737687,5.99,158.77,-3.339549297,9.5,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33542,33542,3515,39,23,27,144,282248.23,84.618552347,5.99,158.16,-0.241080652,10.0,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33543,33543,3515,40,23,27,144,279842.99,84.944765225,5.99,156.21,1.5859655122,9.8,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33544,33544,3515,41,23,27,144,278455.59,81.978367642,5.99,161.06,2.6824968062,9.9,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33545,33545,3515,42,23,27,144,275988.01,81.282183069,5.99,161.0,3.0294986398,9.4,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33546,33546,3515,43,23,27,144,274554.32,83.430214518,5.99,156.04,2.6941105489,9.4,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33547,33547,3515,44,23,27,144,272068.65,85.485312355,5.99,150.91,1.8755149375,9.2,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33548,33548,3515,45,23,27,144,270599.61,82.849690111,5.99,154.87,1.6391549258,9.1,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33549,33549,3515,46,23,27,144,268049.16,81.678540389,5.99,155.61,1.1759090317,9.0,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33550,33550,3515,47,23,27,144,266558.32,84.498642911,5.99,149.58,1.6681823188,8.8,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33551,33551,3515,48,23,27,144,264005.24,85.47796834,5.99,146.45,2.7159028846,8.3,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33552,33552,3515,49,23,27,144,262473.04,80.325265565,5.99,154.94,2.4566338212,8.2,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33553,33553,3515,50,23,27,144,259858.48,77.523738056,5.99,158.94,2.3664098989,8.2,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33554,33554,3515,51,23,27,144,258272.17,77.215670833,5.99,158.6,1.2690442628,7.8,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33555,33555,3515,52,23,27,144,255607.62,75.219147986,5.99,161.13,1.0810494182,8.0,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33556,33556,3515,53,23,27,144,252913.45,69.251676123,5.99,173.17,0.8929961554,7.6,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33557,33557,3515,54,23,27,144,251226.8,66.190684188,5.99,179.97,1.5073587076,7.3,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33558,33558,3515,55,23,27,144,248490.45,65.43338056,5.99,180.07,2.4222748689,7.2,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33559,33559,3515,56,23,27,144,246737.23,64.48468825,5.99,181.43,1.7170529058,6.6,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33560,33560,3515,57,23,27,144,243933.3,61.786880208,5.99,187.2,2.5560517331,6.2,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33561,33561,3515,58,23,27,144,242111.5,60.944525623,5.99,188.37,2.8685938252,6.2,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33562,33562,3515,59,23,27,144,237832.99,60.097242788,5.99,187.65,2.4436475652,5.7,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33563,33563,3515,60,23,27,144,236560.42,59.09233264,5.99,189.82,2.8363581757,5.7,0,1,0,0,304200.0,683,65.0,5.99,221.91,0,0,0
33564,33564,3516,27,23,27,144,389049.54,57.534687178,10.5,222.39,2.3617217155,4.4,0,0,1,0,390000.0,541,57.8,10.5,221.91,0,1,2
33570,33570,3518,26,23,26,144,256050.0,78.866281653,8.5,225.1,2.1513648831,4.7,0,1,0,0,256050.0,582,80.0,8.5,221.91,0,0,0
33571,33571,3518,27,23,26,144,256050.0,79.827330366,8.5,222.39,2.3617217155,4.4,0,1,0,0,256050.0,582,80.0,8.5,221.91,0,0,0
33572,33572,3518,28,23,26,144,256050.0,80.815769108,8.5,219.67,1.2291722496,4.6,0,1,0,0,256050.0,582,80.0,8.5,221.91,0,0,0
33573,33573,3518,29,23,26,144,256050.0,81.670883747,9.75,217.37,1.6929686703,4.5,0,1,0,0,256050.0,582,80.0,8.5,221.91,0,1,2
33574,33574,3519,26,23,26,144,220320.0,78.866281653,7.75,225.1,2.1513648831,4.7,0,1,0,0,220320.0,723,80.0,7.75,221.91,1,0,1
33575,33575,3520,26,23,26,144,207937.17,78.842458727,7.25,225.1,2.1513648831,4.7,0,0,1,0,208000.0,729,80.0,7.25,221.91,0,0,0
33576,33576,3520,27,23,26,144,207937.17,79.803217139,7.25,222.39,2.3617217155,4.4,0,0,1,0,208000.0,729,80.0,7.25,221.91,0,0,0
33577,33577,3520,28,23,26,144,207937.17,80.791357306,7.25,219.67,1.2291722496,4.6,0,0,1,0,208000.0,729,80.0,7.25,221.91,0,0,0
33578,33578,3520,29,23,26,144,207937.17,81.646213643,7.25,217.37,1.6929686703,4.5,0,0,1,0,208000.0,729,80.0,7.25,221.91,0,0,0
